end_auction,forecasted_load_hour_0,forecasted_load_hour_1,forecasted_load_hour_2,forecasted_load_hour_3,forecasted_load_hour_4,forecasted_load_hour_5,forecasted_load_hour_6,forecasted_load_hour_7,forecasted_load_hour_8,forecasted_load_hour_9,forecasted_load_hour_10,forecasted_load_hour_11,forecasted_load_hour_12,forecasted_load_hour_13,forecasted_load_hour_14,forecasted_load_hour_15,forecasted_load_hour_16,forecasted_load_hour_17,forecasted_load_hour_18,forecasted_load_hour_19,forecasted_load_hour_20,forecasted_load_hour_21,forecasted_load_hour_22,forecasted_load_hour_23,market_price_hour_0,market_price_hour_1,market_price_hour_2,market_price_hour_3,market_price_hour_4,market_price_hour_5,market_price_hour_6,market_price_hour_7,market_price_hour_8,market_price_hour_9,market_price_hour_10,market_price_hour_11,market_price_hour_12,market_price_hour_13,market_price_hour_14,market_price_hour_15,market_price_hour_16,market_price_hour_17,market_price_hour_18,market_price_hour_19,market_price_hour_20,market_price_hour_21,market_price_hour_22,market_price_hour_23
2018-10-11 12:00:00,201063.0,192996.0,189549.0,190698.0,196010.0,208553.0,238030.0,259510.0,269073.0,272494.0,273665.0,276079.0,272212.0,267673.0,260795.0,258129.0,253859.0,251767.0,255266.0,260948.0,250034.0,236188.0,222381.0,206177.0,45.85,45.88,45.6,45.64,45.8,49.64,56.65,69.87,71.47,69.71,69.52,61.95,49.25,48.75,47.84,53.32,56.95,67.32,69.94,79.08,65.0,53.58,50.0,43.88
2018-10-12 12:00:00,190250.0,181665.0,176778.0,175878.0,176937.0,178868.0,184744.0,197375.0,212858.0,223986.0,229414.0,233173.0,228926.0,222153.0,216215.0,214443.0,214673.0,215198.0,220917.0,226534.0,217076.0,207440.0,200908.0,187202.0,47.8,43.97,42.08,39.14,42.74,43.91,48.34,58.18,62.9,62.43,52.55,44.05,37.4,34.1,31.95,37.42,50.23,60.46,64.54,55.85,40.59,31.52,24.72,20.29
2018-10-13 12:00:00,175236.0,167669.0,163901.0,162658.0,164176.0,164842.0,167321.0,176114.0,189478.0,201767.0,208340.0,216350.0,213817.0,206014.0,199593.0,197886.0,198281.0,202965.0,211869.0,218442.0,211681.0,203783.0,198007.0,185773.0,20.76,21.44,20.89,19.52,20.72,20.79,22.07,25.86,27.69,26.71,26.94,25.76,20.73,20.75,13.92,19.54,20.74,42.82,56.56,68.09,40.54,32.9,31.32,27.0
2018-10-14 12:00:00,177229.0,171728.0,169473.0,170771.0,178232.0,195459.0,231218.0,255873.0,266980.0,269708.0,272635.0,277401.0,269783.0,268941.0,264098.0,261467.0,254498.0,255066.0,258227.0,261494.0,250466.0,237628.0,220049.0,205496.0,34.93,30.86,29.05,30.06,33.0,42.0,60.02,79.38,79.05,74.72,62.39,52.89,48.52,49.82,51.45,55.26,71.86,80.28,90.0,107.32,75.31,70.49,59.05,59.07
2018-10-15 12:00:00,193888.0,187322.0,183825.0,184485.0,190204.0,203066.0,234806.0,258282.0,268794.0,272032.0,273426.0,277704.0,273472.0,269771.0,265108.0,262784.0,257517.0,256449.0,261249.0,266199.0,254263.0,239796.0,222752.0,206063.0,56.06,53.55,52.01,51.0,52.2,57.02,77.73,86.98,95.01,86.02,78.82,75.93,70.91,69.36,68.61,69.19,74.04,80.95,89.97,105.12,84.96,76.02,59.99,56.5
2018-10-18 12:00:00,193087.0,185330.0,182050.0,183578.0,188928.0,203409.0,236194.0,257602.0,265154.0,267610.0,271089.0,273729.0,270757.0,265671.0,258297.0,254127.0,248944.0,247690.0,253209.0,256384.0,244363.0,230121.0,217170.0,199613.0,52.47,51.85,50.61,49.96,50.25,54.34,72.63,80.96,84.09,84.28,81.94,75.19,69.16,62.72,60.29,60.92,70.63,80.71,81.96,83.95,79.48,68.95,59.99,55.38
2018-10-19 12:00:00,191328.0,182910.0,177556.0,176138.0,177080.0,179258.0,187246.0,199553.0,214611.0,225827.0,231676.0,235162.0,230613.0,223072.0,216373.0,214410.0,214264.0,215235.0,221215.0,227721.0,218274.0,207748.0,201567.0,187499.0,64.75,56.55,53.01,51.28,50.75,49.97,52.4,56.03,61.97,70.93,66.39,61.54,54.48,50.86,50.6,51.71,54.99,61.24,75.8,79.95,71.69,62.29,60.01,55.9
2018-10-20 12:00:00,175057.0,166875.0,162834.0,161790.0,162962.0,164466.0,167136.0,173404.0,186451.0,198407.0,205376.0,213152.0,210063.0,202825.0,197116.0,196368.0,196356.0,199778.0,210352.0,217516.0,211763.0,204251.0,197970.0,184642.0,53.26,48.02,48.07,50.5,50.33,50.5,52.02,56.03,59.0,61.03,60.94,60.79,51.63,47.02,47.51,44.97,52.06,58.58,68.95,74.94,70.1,57.94,59.9,48.08
2018-10-21 12:00:00,174088.0,168893.0,166630.0,168110.0,175090.0,192297.0,228503.0,254181.0,264050.0,267176.0,270281.0,274222.0,267494.0,266929.0,262015.0,259640.0,252711.0,253058.0,257595.0,258839.0,247323.0,234270.0,217347.0,201945.0,46.35,46.32,43.21,39.75,41.81,45.53,59.32,75.18,76.39,69.86,58.21,54.46,47.02,46.0,46.37,49.01,55.8,68.82,78.91,82.65,69.02,53.58,50.69,42.86
2018-10-24 12:00:00,206540.0,198666.0,195303.0,196447.0,202126.0,215051.0,247094.0,268319.0,275936.0,278607.0,281240.0,287349.0,283316.0,279629.0,275282.0,273403.0,269265.0,268324.0,273244.0,272475.0,259825.0,246448.0,230538.0,213821.0,41.93,30.66,29.58,26.49,25.59,30.83,44.59,55.06,58.97,54.51,47.29,46.71,44.52,43.92,44.12,45.2,50.38,64.69,74.08,74.18,66.09,59.26,59.09,52.02
